inchikey	molecular_weight	logp	tpsa	hbd	hba	rotatable_bonds	unit_strategy	source	source_version	fetch_date
AAADKYXUTOBAGS-XCBNKYQSSA-N							MW:Da|LogP:unitless|TPSA:Å²|HBD:count|HBA:count|RotatableBonds:count	none	none	2026-04-13
AAAQFGUYHFJNHI-SFHVURJKSA-N	423.9	3.66	81.4	1	6	5	MW:Da|LogP:unitless|TPSA:Å²|HBD:count|HBA:count|RotatableBonds:count	chembl_compound_properties	ChEMBL:36:compound_properties	2026-04-13
AABLHGPVOULICI-BRJGLHKUSA-N	303.36	0.54	73.16	3	5		MW:Da|LogP:unitless|TPSA:Å²|HBD:count|HBA:count|RotatableBonds:count	chembl_compound_properties	ChEMBL:36:compound_properties	2026-04-13
AACACXATQSKRQG-UHFFFAOYSA-L							MW:Da|LogP:unitless|TPSA:Å²|HBD:count|HBA:count|RotatableBonds:count	none	none	2026-04-13
AACUJFVOHGRMTR-DPXNYUHVSA-N	437.45	3.1	102.49	2	7	4	MW:Da|LogP:unitless|TPSA:Å²|HBD:count|HBA:count|RotatableBonds:count	chembl_compound_properties	ChEMBL:36:compound_properties	2026-04-13
AADCDMQTJNYOSS-LBPRGKRZSA-N	340.85	2.83	61.8	2	4	6	MW:Da|LogP:unitless|TPSA:Å²|HBD:count|HBA:count|RotatableBonds:count	chembl_compound_properties	ChEMBL:36:compound_properties	2026-04-13
AADNQNOXNWEYHS-UHFFFAOYSA-N	300.4	4.66	35.53		3	1	MW:Da|LogP:unitless|TPSA:Å²|HBD:count|HBA:count|RotatableBonds:count	chembl_compound_properties	ChEMBL:36:compound_properties	2026-04-13
AADVCYNFEREWOS-OBRABYBLSA-N	593.8	4.3	159.54	5	8	16	MW:Da|LogP:unitless|TPSA:Å²|HBD:count|HBA:count|RotatableBonds:count	chembl_compound_properties	ChEMBL:36:compound_properties	2026-04-13
AAFJXZWCNVJTMK-GUCUJZIJSA-N	146.14	-1.49	65.52	2	4	3	MW:Da|LogP:unitless|TPSA:Å²|HBD:count|HBA:count|RotatableBonds:count	chembl_compound_properties	ChEMBL:36:compound_properties	2026-04-13
AAJXINSCZMZERD-UHFFFAOYSA-N							MW:Da|LogP:unitless|TPSA:Å²|HBD:count|HBA:count|RotatableBonds:count	none	none	2026-04-13
AAKJLRGGTJKAMG-UHFFFAOYSA-N	393.44	3.41	74.73	1	7	10	MW:Da|LogP:unitless|TPSA:Å²|HBD:count|HBA:count|RotatableBonds:count	chembl_compound_properties	ChEMBL:36:compound_properties	2026-04-13
AALSSIXXBDPENJ-FYWRMAATSA-N	378.47	4.11	89.9	1	5	12	MW:Da|LogP:unitless|TPSA:Å²|HBD:count|HBA:count|RotatableBonds:count	chembl_compound_properties	ChEMBL:36:compound_properties	2026-04-13
AANFHDFOMFRLLR-IBGZPJMESA-N							MW:Da|LogP:unitless|TPSA:Å²|HBD:count|HBA:count|RotatableBonds:count	none	none	2026-04-13
AANFHDFOMFRLLR-LJQANCHMSA-N							MW:Da|LogP:unitless|TPSA:Å²|HBD:count|HBA:count|RotatableBonds:count	none	none	2026-04-13
