inchikey	drugbank_id	pubchem_cid	bioavailability	bioavailability_evidence	bioavailability_source	clearance	clearance_evidence	clearance_source	half_life	half_life_evidence	half_life_source	volume_of_distribution	volume_of_distribution_evidence	volume_of_distribution_source	ld50	ld50_evidence	ld50_source	mutagenicity	mutagenicity_evidence	mutagenicity_source	fetch_date	source_version
AAADKYXUTOBAGS-XCBNKYQSSA-N	DB02851			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
AAAQFGUYHFJNHI-SFHVURJKSA-N	DB16239	174006338		none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
AABLHGPVOULICI-BRJGLHKUSA-N	DB01512			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
AACACXATQSKRQG-UHFFFAOYSA-L	DB11189			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
AACUJFVOHGRMTR-DPXNYUHVSA-N	DB15391			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
AADCDMQTJNYOSS-LBPRGKRZSA-N	DB15492	11112879		none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
AADNQNOXNWEYHS-UHFFFAOYSA-N	DB12840			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
AADVCYNFEREWOS-OBRABYBLSA-N	DB20588			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
AAFJXZWCNVJTMK-GUCUJZIJSA-N	DB12873			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
AAJXINSCZMZERD-UHFFFAOYSA-N	DB08440			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
AAKJLRGGTJKAMG-UHFFFAOYSA-N	DB00530	103905339	Erlotinib is about 60% absorbed after oral administration and its bioavailability is substantially increased by food to almost 100%.	structured/high	drugbank_xml:DB00530#absorption	Smokers have a 24% higher rate of erlotinib clearance.	structured/high	drugbank_xml:DB00530#clearance	Median half-life of 36.2 hours.	structured/high	drugbank_xml:DB00530#half-life	Apparent volume of distribution = 232 L	structured/high	drugbank_xml:DB00530#volume-of-distribution		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
AALSSIXXBDPENJ-FYWRMAATSA-N	DB18786			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
