inchikey	chembl_id	drugbank_id	pubchem_cid	bioavailability	bioavailability_pct	bioavailability_evidence	bioavailability_source	clearance	clearance_value	clearance_unit_std	clearance_evidence	clearance_source	half_life	half_life_value	half_life_unit_std	half_life_evidence	half_life_source	volume_of_distribution	volume_distribution_value	volume_distribution_unit_std	volume_of_distribution_evidence	volume_of_distribution_source	ld50	ld50_value	ld50_unit_std	ld50_evidence	ld50_source	mutagenicity	mutagenicity_label_std	mutagenicity_evidence	mutagenicity_source	source	source_version	fetch_date
AAADKYXUTOBAGS-XCBNKYQSSA-N		DB02851				none	none				none	none				none	none				none	none				none	none		unknown	none	none	molecule_xref_core_v2	ChEMBL:ChEMBL_36|release_date:2025-07-28;DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2	2026-04-13
AAAQFGUYHFJNHI-SFHVURJKSA-N	CHEMBL1232461	DB16239	174006338	=52.0 %	52	structured/high	chembl_api:activity:13455851|molecule:CHEMBL1232461|assay:CHEMBL2433397|standard_type:F	=14.0 mL.min-1.kg-1			structured/high	chembl_api:activity:13455863|molecule:CHEMBL1232461|assay:CHEMBL2433566|standard_type:CL	=1.583 hr	1.583	h	structured/high	chembl_api:activity:18587704|molecule:CHEMBL1232461|assay:CHEMBL4223755|standard_type:T1/2	=1.5 L.kg-1			structured/high	chembl_api:activity:13455859|molecule:CHEMBL1232461|assay:CHEMBL2433562|standard_type:Vd				none	none		unknown	none	none	chembl_api	ChEMBL:ChEMBL_36|release_date:2025-07-28;DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2	2026-04-13
AABLHGPVOULICI-BRJGLHKUSA-N	CHEMBL1951706	DB01512				none	none				none	none				none	none				none	none				none	none		unknown	none	none	molecule_xref_core_v2	ChEMBL:ChEMBL_36|release_date:2025-07-28;DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2	2026-04-13
AACACXATQSKRQG-UHFFFAOYSA-L		DB11189				none	none				none	none				none	none				none	none				none	none		unknown	none	none	molecule_xref_core_v2	ChEMBL:ChEMBL_36|release_date:2025-07-28;DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2	2026-04-13
AACUJFVOHGRMTR-DPXNYUHVSA-N	CHEMBL4204869	DB15391				none	none				none	none	=12.0 hr	12	h	structured/high	chembl_api:activity:18541703|molecule:CHEMBL4204869|assay:CHEMBL4197709|standard_type:T1/2				none	none				none	none		unknown	none	none	chembl_api	ChEMBL:ChEMBL_36|release_date:2025-07-28;DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2	2026-04-13
AADCDMQTJNYOSS-LBPRGKRZSA-N	CHEMBL8946	DB15492	11112879			none	none				none	none				none	none				none	none	=330.0 umol.kg-1			structured/high	chembl_api:activity:513410|molecule:CHEMBL8946|assay:CHEMBL786031|standard_type:LD50		unknown	none	none	chembl_api	ChEMBL:ChEMBL_36|release_date:2025-07-28;DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2	2026-04-13
AADNQNOXNWEYHS-UHFFFAOYSA-N	CHEMBL2105240	DB12840				none	none				none	none				none	none				none	none				none	none		unknown	none	none	molecule_xref_core_v2	ChEMBL:ChEMBL_36|release_date:2025-07-28;DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2	2026-04-13
AADVCYNFEREWOS-OBRABYBLSA-N	CHEMBL364447	DB20588				none	none				none	none				none	none				none	none				none	none		unknown	none	none	molecule_xref_core_v2	ChEMBL:ChEMBL_36|release_date:2025-07-28;DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2	2026-04-13
AAFJXZWCNVJTMK-GUCUJZIJSA-N	CHEMBL3137322	DB12873				none	none				none	none				none	none				none	none				none	none		unknown	none	none	molecule_xref_core_v2	ChEMBL:ChEMBL_36|release_date:2025-07-28;DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2	2026-04-13
AAJXINSCZMZERD-UHFFFAOYSA-N		DB08440				none	none				none	none				none	none				none	none				none	none		unknown	none	none	molecule_xref_core_v2	ChEMBL:ChEMBL_36|release_date:2025-07-28;DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2	2026-04-13
AAKJLRGGTJKAMG-UHFFFAOYSA-N	CHEMBL553	DB00530	103905339	Erlotinib is about 60% absorbed after oral administration and its bioavailability is substantially increased by food to almost 100%.	60	structured/high	drugbank_xml:DB00530#absorption	Smokers have a 24% higher rate of erlotinib clearance.			structured/high	drugbank_xml:DB00530#clearance	Median half-life of 36.2 hours.	36.2	h	structured/high	drugbank_xml:DB00530#half-life	Apparent volume of distribution = 232 L	232	L	structured/high	drugbank_xml:DB00530#volume-of-distribution				none	none		unknown	none	none	drugbank_xml	ChEMBL:ChEMBL_36|release_date:2025-07-28;DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2	2026-04-13
AALSSIXXBDPENJ-FYWRMAATSA-N	CHEMBL578390	DB18786				none	none				none	none				none	none				none	none				none	none		unknown	none	none	molecule_xref_core_v2	ChEMBL:ChEMBL_36|release_date:2025-07-28;DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2	2026-04-13
