inchikey	chembl_id	drugbank_id	pubchem_cid	match_strategy	confidence	xref_source	fetch_date	source_version
AAADKYXUTOBAGS-XCBNKYQSSA-N		DB02851	1714210	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AAAQFGUYHFJNHI-SFHVURJKSA-N	CHEMBL1232461	DB16239	174006338;174007117	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
AABLHGPVOULICI-BRJGLHKUSA-N	CHEMBL1951706	DB01512	5463858	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AACACXATQSKRQG-UHFFFAOYSA-L		DB11189	75487596;84645	drugbank_inchikey_seed;pubchem_direct_inchikey_multi_cid;seed_v1	medium	drug_master_v1;drug_xref_molecules_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AACUJFVOHGRMTR-DPXNYUHVSA-N	CHEMBL4204869	DB15391	57827330	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AADCDMQTJNYOSS-LBPRGKRZSA-N	CHEMBL8946	DB15492	11112879;26755017	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
AADNQNOXNWEYHS-UHFFFAOYSA-N	CHEMBL2105240	DB12840	50137	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AADVCYNFEREWOS-OBRABYBLSA-N	CHEMBL364447	DB20588	643668	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AAFJXZWCNVJTMK-GUCUJZIJSA-N	CHEMBL3137322	DB12873	15942827	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AAJXINSCZMZERD-UHFFFAOYSA-N		DB08440	18719622	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AAKJLRGGTJKAMG-UHFFFAOYSA-N	CHEMBL553	DB00530	103905339;124893165;124893166;144205755;170465434;26757996;85267493	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
AALSSIXXBDPENJ-FYWRMAATSA-N	CHEMBL578390	DB18786	6439397	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AANFHDFOMFRLLR-IBGZPJMESA-N		DB07294	445460	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AANFHDFOMFRLLR-LJQANCHMSA-N		DB07031	445455	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AANTYZRUJFNZFI-UHFFFAOYSA-N	CHEMBL66907	DB04549	446240	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AANXPIMDONQTQF-HNNXBMFYSA-N	CHEMBL202839	DB07121	6102708	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
AAOLGDRTKZMLIG-OUKQBFOZSA-N	CHEMBL2104473	DB20739	5705661	drugbank_inchikey_seed;pubchem_direct_inchikey_exact_unique;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite;pubchem_pug_rest	2026-04-13	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChem:PUGREST:2026-04-13;PubChemCID:from_ChEMBL_36_compound_records;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36
