uniprot_id	kegg_gene_id	kegg_pathway_id	pathway_name	source_version	fetch_date
A0A075B734	hsa:100509620	hsa03320	PPAR signaling pathway - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A075B734	hsa:100509620	hsa04923	Regulation of lipolysis in adipocytes - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A075B759	hsa:730262	hsa03250	Viral life cycle - HIV-1 - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A075B759	hsa:730262	hsa04217	Necroptosis - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A075B767	hsa:105371242	hsa03250	Viral life cycle - HIV-1 - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A075B767	hsa:105371242	hsa04217	Necroptosis - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A087X1C5	hsa:1564	hsa00980	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A087X1C5	hsa:1564	hsa00982	Drug metabolism - cytochrome P450 - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A087X1C5	hsa:1564	hsa01522	Endocrine resistance - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A087X1C5	hsa:1564	hsa04726	Serotonergic synapse - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A096LP55	hsa:440567	hsa00190	Oxidative phosphorylation - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A096LP55	hsa:440567	hsa01100	Metabolic pathways - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A096LP55	hsa:440567	hsa04260	Cardiac muscle contraction - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A096LP55	hsa:440567	hsa04714	Thermogenesis - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A096LP55	hsa:440567	hsa04932	Non-alcoholic fatty liver disease - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A096LP55	hsa:440567	hsa05010	Alzheimer disease - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A096LP55	hsa:440567	hsa05012	Parkinson disease - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A096LP55	hsa:440567	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A096LP55	hsa:440567	hsa05016	Huntington disease - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A096LP55	hsa:440567	hsa05020	Prion disease - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A096LP55	hsa:440567	hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A096LP55	hsa:440567	hsa05208	Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A096LP55	hsa:440567	hsa05415	Diabetic cardiomyopathy - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A096LPK9	hsa:105369274	hsa04740	Olfactory transduction - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A0B4J2A2	hsa:653598	hsa03250	Viral life cycle - HIV-1 - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A0B4J2A2	hsa:653598	hsa04217	Necroptosis - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A0X1KG70	hsa:118568804	hsa04740	Olfactory transduction - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A1B0GTR4	hsa:110806278	hsa04382	Cornified envelope formation - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A1W2PQ27	hsa:390033	hsa03015	mRNA surveillance pathway - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A1W2PQ64	hsa:196120	hsa03015	mRNA surveillance pathway - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A1W2PQC6	hsa:441584	hsa03015	mRNA surveillance pathway - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A1W2PQD8	hsa:390031	hsa03015	mRNA surveillance pathway - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
A0A1W2PQJ5	hsa:143506	hsa03015	mRNA surveillance pathway - Homo sapiens (human)	KEGG pathway 118.0+/04-11, Apr 26	2026-04-11
