edge_id	activity_id	assay_id	doc_id	compound_inchikey	target_uniprot_accession	target_chembl_id	standard_type	activity_type	standard_relation	relation	standard_relation_raw	standard_value	standard_units	standard_value_nM	pchembl_value	pchembl_value_eff	assay_type	assay_type_desc	assay_description	assay_context	assay_confidence_score	bao_format	condition_pH	condition_temperature_c	condition_system	condition_context	conditions	data_validity_comment	activity_comment	doi	pubmed_id	n_evidence	n_docs	evidence_score_max	source	source_version	fetch_date	condition_context_json	condition_extract_confidence	condition_extract_source_field
84ca1cd2e23b44afb3370f47049269a580434023	18057918	1662941	104463	HAIFKHTXBPIOKM-UHFFFAOYSA-N	P10721	CHEMBL1936	IC50	IC50	>	>	>	50000.0	nM	50000.0		4.301029995663981	B	Binding assay	Inhibition of cKIT (unknown origin) using FAM-labeled peptide as substrate preincubated for 10 mins followed by substrate addition in presence of ATP by mobility shift assay	Binding assay; Inhibition of cKIT (unknown origin) using FAM-labeled peptide as substrate preincubated for 10 mins followed by substrate addition in presence of ATP by mobility shift assay	9	BAO_0000357								10.1021/acs.jmedchem.7b00468	28541695	1	1	0.94	chembl_36	m3_extract_chembl_psi_v1|m3_rules_v1|condition_enrich_v3	2026-04-12			
63eb4cf05162b1adc4b1a9a59ce1c2c97aba4e99	903380	36273	3578	TXGBFMUJGCQMKI-UHFFFAOYSA-N	P10275	CHEMBL1871	Ki	Ki	=	=	=	27.0	nM	27.0	7.57	7.57	B	Binding assay	Binding affinity towards human androgen receptor (hAR), using dihydrotestosterone as radioligand for competitive binding assay	Binding assay; Binding affinity towards human androgen receptor (hAR), using dihydrotestosterone as radioligand for competitive binding assay	8	BAO_0000357								10.1016/s0960-894x(99)00119-5	10230629	1	1	0.9499999999999998	chembl_36	m3_extract_chembl_psi_v1|m3_rules_v1|condition_enrich_v3	2026-04-12			
a72b538ad024224b2be758633bbd4cc07562b27f	2360001	512488	45191	FMNQZFNPAISLBL-ZEQRLZLVSA-N	O14746	CHEMBL2916	EC50	EC50	>	>	>	40000.0	nM	40000.0		4.3979400086720375	B	Binding assay	Inhibition of telomerase in human JR8 cells by TRAP assay	Binding assay; Inhibition of telomerase in human JR8 cells by TRAP assay	9	BAO_0000219			cell_based	system=cell_based; cell_line=JR8				10.1021/jm800160v	18754611	1	1	0.94	chembl_36	m3_extract_chembl_psi_v1|m3_rules_v1|condition_enrich_v3	2026-04-12	"{""cell_line"":[""JR8""],""source_fields"":[""assay_context"",""assay_description""],""system"":[""cell_based""]}"	0.72	assay_context;assay_description
d72530202ef8fe1c6bed406a98ff534ea95d47ea	9589689	809171	51887	WZZXMNBOPNKKSX-UHFFFAOYSA-N	P24941	CHEMBL301	Ki	Ki	>	>	>	7943.28	nM	7943.28		5.100000128334196	F	Functional assay	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CDK2	Functional assay; PUBCHEM_BIOASSAY: Navigating the Kinome	8	BAO_0000019							inactive			1	1	0.865	chembl_36	m3_extract_chembl_psi_v1|m3_rules_v1|condition_enrich_v3	2026-04-12			
23d6db89b261712fb25756e6ca9a409a4c41a562	9565664	809145	51887	XPHWIERLJBFPFV-UHFFFAOYSA-N	Q9H4B4	CHEMBL4897	Ki	Ki	>	>	>	7943.28	nM	7943.28		5.100000128334196	F	Functional assay	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: PLK3	Functional assay; PUBCHEM_BIOASSAY: Navigating the Kinome	8	BAO_0000019							inactive			1	1	0.865	chembl_36	m3_extract_chembl_psi_v1|m3_rules_v1|condition_enrich_v3	2026-04-12			
651740ecf45d8ad39ce1222612cb577158c28640	2456031	487680	43809	WBNACPGGAULOOJ-UHFFFAOYSA-N	P25774	CHEMBL2954	IC50	IC50	=	=	=	10.0	nM	10.0	8.0	8.0	B	Binding assay	Inhibition of human recombinant cathepsin S by fluorescence assay	Binding assay; Inhibition of human recombinant cathepsin S by fluorescence assay	9	BAO_0000357			recombinant	system=recombinant	system=recombinant			10.1016/j.bmcl.2008.06.009	18572405	1	1	0.9999999999999999	chembl_36	m3_extract_chembl_psi_v1|m3_rules_v1|condition_enrich_v3	2026-04-12	"{""source_fields"":[""assay_context"",""assay_description""],""system"":[""recombinant""]}"	0.56	assay_context;assay_description
979334f4ff415704e80d16de814e32905ee6e487	1135113	141154	17204	NEWKHUASLBMWRE-UHFFFAOYSA-N	Q13224	CHEMBL1904	IC50	IC50	=	=	=	18000.0	nM	18000.0	4.75	4.75	F	Functional assay	Tested for in vitro antagonistic activity against human N-methyl-D-aspartate glutamate receptor 2B	Functional assay; Tested for in vitro antagonistic activity against human N-methyl-D-aspartate glutamate receptor 2B	8	BAO_0000019			in_vitro	system=in_vitro				10.1021/jm025570j	12519057	1	1	0.9249999999999999	chembl_36	m3_extract_chembl_psi_v1|m3_rules_v1|condition_enrich_v3	2026-04-12	"{""source_fields"":[""assay_context"",""assay_description""],""system"":[""in_vitro""]}"	0.56	assay_context;assay_description
3c8dc5c24af7d8cd9b99ea448e143d9407ecf7e9	810847	52807	6914	CFLHCISOVMSSHJ-UHFFFAOYSA-N	P13267	CHEMBL3897	Ki	Ki	=	=	=	21900.0	nM	21900.0	4.66	4.66	B	Binding assay	In vitro inhibition of Bacillus subtilis DNA Polymerase III/azp-12(mutant).	Binding assay; In vitro inhibition of Bacillus subtilis DNA Polymerase III/azp-12(mutant)	8	BAO_0000357			in_vitro	system=in_vitro				10.1021/jm00175a007	6767030	1	1	0.9499999999999998	chembl_36	m3_extract_chembl_psi_v1|m3_rules_v1|condition_enrich_v3	2026-04-12	"{""source_fields"":[""assay_context"",""assay_description""],""system"":[""in_vitro""]}"	0.56	assay_context;assay_description
2d97d87a711e57d2445807fbc2f942b9f14f56f8	2013767	453280	37325	FVGXMBDNWLAUPQ-ZVBGSRNCSA-N	P51681	CHEMBL274	IC50	IC50	=	=	=	480.0	nM	480.0	6.32	6.32	B	Binding assay	Displacement of [125I]MIP1-alpha from human CCR5/CD4 expressed in HEK293 cells	Binding assay; Displacement of [125I]MIP1-alpha from human CCR5/CD4 expressed in HEK293 cells	9	BAO_0000219			cell_based	system=cell_based; cell_line=HEK293				10.1016/j.bmcl.2006.09.052	17081751	2	2	0.9999999999999999	chembl_36	m3_extract_chembl_psi_v1|m3_rules_v1|condition_enrich_v3	2026-04-12	"{""cell_line"":[""HEK293""],""source_fields"":[""assay_context"",""assay_description""],""system"":[""cell_based""]}"	0.72	assay_context;assay_description
3f48aa28c631eba3a42d506d0e7468a02c79877d	27374186	2590211	132673	KQRUIHGEEHIGBM-JPYJTQIMSA-N	P00746	CHEMBL2176771	IC50	IC50	>	>	>	10000.0	nM	10000.0		5.0	B	Binding assay	Factor D Assay: Human factor D (purified from human serum, Complement Technology, Inc.) at 80 nM final concentration is incubated with test compound at various concentrations for 5 minutes at room temperature in 50 mM Tris, 1M NaCl, pH 7.5. A synthetic substrate Z-L-Lys-SBzl and DTNB (Ellman's reagent) are added to final concentrations of 100 μM each. The increase in color is recorded at OD405 nm in a microplate in kinetic mode over 30 minutes with 30 second time points in a spectrofluorimeter. IC50 values are calculated by non-linear regression from the percentage of inhibition of complement factor D activity as a function of test compound concentration.	Binding assay; Factor D Assay: Human factor D (purified from human serum, Complement Technology, Inc	9	BAO_0000357	7.5	25	buffered;plasma_serum	pH=7.5; temperature_c=25; system=buffered,plasma_serum; buffer=TRIS	pH=7.5; system=serum		698268			3	3	0.94	chembl_36	m3_extract_chembl_psi_v1|m3_rules_v1|condition_enrich_v3	2026-04-12	"{""buffer"":[""TRIS""],""legacy_condition_context"":""pH=7.5; system=serum"",""pH"":""7.5"",""source_fields"":[""assay_context"",""assay_description"",""condition_pH""],""system"":[""buffered"",""plasma_serum""],""temperature_c"":""25""}"	0.84	assay_context;assay_description;condition_pH
