pdb_id	uniprot_id	experimental_method	resolution	release_date	ligand_count	source	fetch_date
2DIS	A0AV96	SOLUTION NMR		2006-09-30	0	RCSB_DATA_API	2026-04-11
4YO2	A0AVK6	X-RAY DIFFRACTION	3.073	2015-12-09	0	RCSB_DATA_API	2026-04-11
7PVN	A0AVT1	X-RAY DIFFRACTION	2.71	2022-08-31	5	RCSB_DATA_API	2026-04-11
7PYV	A0AVT1	X-RAY DIFFRACTION	3.27	2022-08-24	0	RCSB_DATA_API	2026-04-11
7SOL	A0AVT1	X-RAY DIFFRACTION	2.25	2022-11-02	2	RCSB_DATA_API	2026-04-11
2DMG	A0FGR8	SOLUTION NMR		2006-10-21	0	RCSB_DATA_API	2026-04-11
4NPJ	A0FGR8	X-RAY DIFFRACTION	2.101	2014-01-29	3	RCSB_DATA_API	2026-04-11
4NPK	A0FGR8	X-RAY DIFFRACTION	2.552	2014-01-29	1	RCSB_DATA_API	2026-04-11
4P42	A0FGR8	X-RAY DIFFRACTION	2.44	2014-05-14	2	RCSB_DATA_API	2026-04-11
7EMF	A0JLT2	ELECTRON MICROSCOPY	3.5	2021-05-05	1	RCSB_DATA_API	2026-04-11
7ENA	A0JLT2	ELECTRON MICROSCOPY	4.07	2021-05-26	3	RCSB_DATA_API	2026-04-11
7ENC	A0JLT2	ELECTRON MICROSCOPY	4.13	2021-05-26	3	RCSB_DATA_API	2026-04-11
7ENJ	A0JLT2	ELECTRON MICROSCOPY	4.4	2021-05-19	1	RCSB_DATA_API	2026-04-11
7LBM	A0JLT2	ELECTRON MICROSCOPY	4.8	2021-03-24	3	RCSB_DATA_API	2026-04-11
7NVR	A0JLT2	ELECTRON MICROSCOPY	4.5	2021-05-05	3	RCSB_DATA_API	2026-04-11
8GXQ	A0JLT2	ELECTRON MICROSCOPY	5.04	2022-11-02	3	RCSB_DATA_API	2026-04-11
8GXS	A0JLT2	ELECTRON MICROSCOPY	4.16	2022-11-02	3	RCSB_DATA_API	2026-04-11
