isoform_record_id	canonical_uniprot_id	isoform_uniprot_id	boundary_class	boundary_reason	mapping_scope	relation_type	event_types	named_isoforms_declared	isoform_name_token	isoform_synonyms	isoid_raw	sequence_status_raw	sequence_status_class	is_displayed_sequence	isoform_block_raw	source	source_version	fetch_date
A0A096LP01|A0A096LP01-1	A0A096LP01	A0A096LP01-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	2	1		A0A096LP01-1	Displayed	displayed	TRUE	Name=1; IsoId=A0A096LP01-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A096LP01|A0A096LP01-2	A0A096LP01	A0A096LP01-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	2	2		A0A096LP01-2	VSP_062288	variant_vsp	FALSE	Name=2; IsoId=A0A096LP01-2; Sequence=VSP_062288;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A096LP49|A0A096LP49-1	A0A096LP49	A0A096LP49-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	2	1		A0A096LP49-1	Displayed	displayed	TRUE	Name=1; IsoId=A0A096LP49-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A096LP49|A0A096LP49-2	A0A096LP49	A0A096LP49-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	2	2		A0A096LP49-2	VSP_058066	variant_vsp	FALSE	Name=2; IsoId=A0A096LP49-2; Sequence=VSP_058066;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A0K2S4Q6|A0A0K2S4Q6-1	A0A0K2S4Q6	A0A0K2S4Q6-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	2	1	CD300H {ECO:0000303|PubMed:26221034}	A0A0K2S4Q6-1	Displayed	displayed	TRUE	Name=1; Synonyms=CD300H {ECO:0000303|PubMed:26221034}; IsoId=A0A0K2S4Q6-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A0K2S4Q6|A0A0K2S4Q6-2	A0A0K2S4Q6	A0A0K2S4Q6-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	2	2	CD300Hs {ECO:0000303|PubMed:26221034}	A0A0K2S4Q6-2	VSP_059910, VSP_059911	variant_vsp	FALSE	Name=2; Synonyms=CD300Hs {ECO:0000303|PubMed:26221034}; IsoId=A0A0K2S4Q6-2; Sequence=VSP_059910, VSP_059911;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A0U1RRN3|A0A0U1RRN3-1	A0A0U1RRN3	A0A0U1RRN3-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative initiation	2	Kastor {ECO:0000250|UniProtKB:Q8C5Y2}		A0A0U1RRN3-1	Displayed	displayed	TRUE	Name=Kastor {ECO:0000250|UniProtKB:Q8C5Y2}; IsoId=A0A0U1RRN3-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A0U1RRN3|A0A0U1RRN3-2	A0A0U1RRN3	A0A0U1RRN3-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative initiation	2	Polluks {ECO:0000250|UniProtKB:Q8C5Y2}		A0A0U1RRN3-2	VSP_061795, VSP_061796	variant_vsp	FALSE	Name=Polluks {ECO:0000250|UniProtKB:Q8C5Y2}; IsoId=A0A0U1RRN3-2; Sequence=VSP_061795, VSP_061796;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A1B0GTI8|A0A1B0GTI8-1	A0A1B0GTI8	A0A1B0GTI8-1	canonical	sequence_status_displayed	self_accession	canonical_displayed	Alternative splicing	2	1		A0A1B0GTI8-1	Displayed	displayed	TRUE	Name=1; IsoId=A0A1B0GTI8-1; Sequence=Displayed;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
A0A1B0GTI8|A0A1B0GTI8-2	A0A1B0GTI8	A0A1B0GTI8-2	isoform	sequence_status_non_displayed	self_accession	canonical_isoform	Alternative splicing	2	2		A0A1B0GTI8-2	VSP_060221	variant_vsp	FALSE	Name=2; IsoId=A0A1B0GTI8-2; Sequence=VSP_060221;	UniProtKB/Swiss-Prot	v6_clean|UniProt:max_date_modified=2025-06-18|AlphaFold:v6|STRING:STRING_v12.0|HGNC:snapshot_2025-10	2025-10-26
