uniprot_id	mean_plddt	median_plddt	min_plddt	max_plddt	very_high_conf_pct	high_conf_pct	low_conf_pct	very_low_conf_pct	quality_grade	residue_count	alphafold_version
A0A024R1R8	73.94	71.69	54.0	94.38	23.2	29.0	47.8	0.0	Good	496	v6
A0A024RBG1	85.03	95.75	31.67	98.75	73.3	5.2	7.2	14.3	Good	1437	v6
A0A024RCN7	56.13	60.97	29.16	70.56	0.0	3.1	65.0	31.9	Medium	583	v6
A0A075B6H5	92.91	98.0	49.56	98.88	87.4	1.3	10.3	0.9	Excellent	860	v6
A0A075B6H7	90.42	97.69	47.06	98.81	76.8	6.0	16.3	0.9	Excellent	900	v6
A0A075B6H8	91.19	97.94	45.81	98.81	77.7	7.8	13.6	0.9	Excellent	918	v6
A0A075B6H9	89.61	97.19	37.16	98.69	76.3	4.6	17.7	1.4	Good	897	v6
A0A075B6I0	90.0	96.5	43.41	98.75	74.2	13.2	10.3	2.3	Excellent	897	v6
A0A075B6I1	89.67	97.19	50.56	98.62	78.9	3.2	18.0	0.0	Good	913	v6
A0A075B6I3	90.46	97.19	37.88	98.75	78.3	6.8	13.9	1.0	Excellent	927	v6
A0A075B6I4	88.94	96.69	50.59	98.56	72.1	8.4	19.5	0.0	Good	871	v6
A0A075B6I6	88.93	97.44	53.97	98.88	75.3	4.8	19.8	0.0	Good	868	v6
A0A075B6I7	89.56	96.0	57.59	98.56	74.3	7.4	18.3	0.0	Good	793	v6
A0A075B6I9	88.85	96.44	34.09	98.5	76.4	4.7	17.0	1.9	Good	878	v6
A0A075B6J1	91.1	97.31	49.09	98.81	80.3	3.9	15.1	0.7	Excellent	934	v6
A0A075B6J2	83.57	94.5	29.28	98.56	63.2	13.7	13.3	9.9	Good	893	v6
A0A075B6J6	88.68	96.94	48.94	98.69	75.0	5.7	16.3	3.1	Good	883	v6
A0A075B6J9	86.08	96.81	42.78	98.81	68.3	8.5	18.9	4.2	Good	872	v6
A0A075B6K0	88.87	97.44	38.97	98.81	76.8	3.0	17.9	2.3	Good	876	v6
A0A075B6K2	88.85	97.44	39.97	98.75	74.1	9.0	15.6	1.3	Good	870	v6
A0A075B6K4	88.46	97.25	40.72	98.81	74.5	4.1	19.2	2.2	Good	874	v6
A0A075B6K5	90.02	98.0	41.09	98.88	75.8	7.9	15.0	1.3	Excellent	869	v6
A0A075B6K6	87.38	95.81	34.41	98.25	76.1	3.1	17.3	3.5	Good	937	v6
A0A075B6L2	77.92	86.06	46.56	91.44	15.0	54.5	26.6	4.0	Good	962	v6
A0A075B6L6	88.09	95.44	37.91	98.5	76.6	6.3	14.0	3.1	Good	873	v6
A0A075B6N1	90.45	96.31	54.0	98.69	80.1	5.0	14.9	0.0	Excellent	895	v6
A0A075B6N2	92.93	97.94	48.38	98.81	87.6	1.1	10.4	0.9	Excellent	852	v6
A0A075B6N3	90.76	97.5	50.09	98.88	81.3	2.4	16.3	0.0	Excellent	907	v6
A0A075B6N4	89.92	96.69	54.91	98.56	80.4	3.1	16.5	0.0	Good	910	v6
A0A075B6P5	90.43	97.88	42.72	98.88	80.3	3.1	15.7	0.9	Excellent	909	v6
A0A075B6Q5	89.6	97.38	44.91	98.81	76.4	5.9	16.8	0.9	Good	904	v6
A0A075B6R0	87.27	94.75	47.59	97.5	69.3	11.2	18.1	1.5	Good	940	v6
