uniprot_id	sequence_len	mass_recalc	isoelectric_point	gravy	aromaticity	instability_index
A0A087X1C5	515	57488.026900	8.703506	-0.016117	0.085437	45.155922
A0A0B4J2F0	54	6313.302400	8.035420	-0.235185	0.129630	55.518519
A0A0K2S4Q6	201	21805.929300	5.366988	0.107960	0.074627	41.796517
A0A0U1RRE5	68	7024.890000	9.508780	-1.005882	0.029412	71.052941
A0A1B0GTW7	788	85395.971400	8.038192	-0.141624	0.065990	41.752284
A0AV02	714	78237.898300	5.513632	0.321289	0.106443	46.699188
A0AV96	593	64098.346700	7.558699	-0.234401	0.091062	35.391568
A0AVF1	554	64176.882700	6.496890	-0.333394	0.119134	43.512852
A0AVI4	362	40463.477600	7.836471	0.175138	0.096685	54.119061
A0AVK6	867	94165.011400	9.109721	-0.467359	0.048443	57.038408
A0AVT1	1052	117968.575200	5.761905	-0.233840	0.086502	39.950580
A0FGR8	921	102356.215000	9.334200	-0.339305	0.061889	47.969273
A0FGR9	886	100034.235500	8.676816	-0.283296	0.080135	44.943239
A0JLT2	244	26272.736400	9.830929	-1.015164	0.045082	64.332828
A0JNW5	1464	164196.625100	5.893431	-0.454167	0.067623	51.640376
A0JP26	581	65709.695200	6.239750	-0.775387	0.041308	48.240448
A0MZ66	631	71639.041600	5.270646	-0.968621	0.017433	63.666403
A0PJK1	596	64341.755700	7.547957	0.627013	0.105705	38.964295
A0PJY2	475	52037.655800	9.622825	-0.447368	0.071579	52.767579
A0PK00	339	40245.298400	9.080259	-0.130383	0.147493	37.314454
A0PK11	232	25445.839800	6.508372	0.757759	0.112069	31.439655
A1A4S6	786	89373.558500	6.751472	-0.585623	0.083969	50.047226
A1A4Y4	181	20141.823100	5.226027	-0.186188	0.077348	30.479613
A1A519	330	37157.565900	4.997989	-1.018485	0.045455	74.251212
A1A5B4	782	90332.259100	8.454593	0.049233	0.118926	42.289770
A1A5C7	686	73747.391400	7.975078	0.315889	0.088921	43.017216
A1E959	279	30776.551700	4.494680	-0.315054	0.086022	66.104337
A1KXE4	195	20323.702600	9.255807	-0.297949	0.117949	62.530256
A1KZ92	1463	163684.205000	7.252508	-0.364593	0.077922	44.312987
A1L0T0	632	67866.935900	8.424100	0.183703	0.064873	35.991472
A1L167	161	18337.865500	7.744563	-0.311801	0.105590	29.209938
A1L190	88	10601.003100	4.525543	-0.867045	0.056818	45.187500
A1L390	1219	134410.657800	6.131529	-0.700902	0.054963	71.664397
A1L3X0	281	33355.918500	9.342968	0.252313	0.206406	37.821744
A1L4H1	1573	165740.900100	5.714729	-0.595550	0.041958	55.077305
A1L4K1	749	85384.339300	4.814797	-0.580774	0.088117	48.658505
A1X283	911	101577.841900	8.818969	-0.844786	0.065862	57.871131
A1XBS5	289	33430.240700	5.887803	-0.761938	0.062284	41.754325
A1Z1Q3	425	47420.720800	4.592045	-0.904000	0.049412	48.267765
A2A288	527	58077.146500	8.917219	-0.580076	0.075901	45.468520
A2A2Y4	597	68771.197600	5.974881	-0.363987	0.100503	57.153819
A2IDD5	438	48520.703300	8.270665	-0.683790	0.047945	49.513470
A2PYH4	1435	162607.881000	6.664224	-0.376864	0.083624	37.842035
A2RRP1	2371	268568.198800	5.647090	-0.289709	0.079713	48.629582
A2RTX5	802	92644.490300	5.740988	-0.493392	0.099751	48.038678
A2RU14	115	12458.963200	6.704750	1.486957	0.147826	22.908696
A2RU30	521	59212.676100	5.483508	-0.755662	0.076775	70.696737
A2RU49	373	41932.650500	6.361272	-0.154424	0.099196	43.890349
A2RUB1	952	107557.464300	6.678491	-0.789181	0.086134	45.059265
A2RUB6	948	109410.045200	8.465875	-1.082068	0.046414	60.484494
A2RUC4	315	36547.389200	7.096371	-0.429524	0.123810	48.391778
A2RUH7	354	38732.863300	8.645355	-0.283616	0.073446	32.720621
A2VDJ0	1609	179337.185000	6.426580	-0.366936	0.088254	48.690677
A3KMH1	1905	214821.894500	7.014011	-0.332756	0.071916	46.281071
A4D0S4	1761	193537.957800	5.929069	-0.436286	0.061329	47.897746
A4D126	451	49872.042400	5.861316	-0.057206	0.057650	44.242350
A4D161	298	33082.266900	6.331091	-0.457047	0.087248	55.396980
A4D1B5	854	97800.361300	6.376335	-0.117096	0.096019	42.289251
A4D1E9	387	42932.388300	9.122164	-0.242119	0.064599	31.573127
A4D1P6	747	83343.440700	6.151650	-0.419679	0.084337	47.503226
A4D1T9	235	26444.362000	9.050733	-0.146383	0.102128	27.857064
A4D256	447	51613.360200	8.330363	-0.326846	0.123043	37.370492
A4D2B0	266	27201.968200	4.733233	-0.125940	0.037594	41.919173
A4GXA9	379	41177.373500	5.970391	-0.234301	0.052770	63.494195
A4UGR9	3374	382295.112900	5.987670	-0.838382	0.054535	57.089271
A5A3E0	1075	121443.293600	5.824883	-0.679442	0.057674	45.292940
A5D8T8	446	49601.924400	8.468583	-0.247758	0.103139	39.094865
